date,ndvi,rainfall,roi_id
2024-11-01,0.06340183646698731,0.0,0
2024-11-08,0.11770524233432245,0.0,0
2024-11-15,0.0,0.0,0
2024-11-22,0.12568976088289394,0.0,0
2024-11-29,0.16630669546436286,0.0,0
2024-12-06,0.13043478260869565,0.0,0
2024-12-13,0.10397341824726568,0.0,0
2024-12-20,0.14655942806076855,0.0,0
2024-12-27,-0.005732152162584679,20.193767547607422,0
2025-01-03,0.027516778523489934,12.756473541259766,0
2025-01-10,-0.06841866787494336,6.250958442687988,0
2025-01-17,0.029398663697104678,0.0,0
2025-01-24,0.11054798859676908,0.0,0
2025-01-31,0.04204322200392927,0.20253701508045197,0
2025-02-07,0.17552436524207538,3.3806896805763245,0
2025-02-14,0.00923380559667301,0.0,0
2025-02-21,0.0641127117302517,3.4005624055862427,0
2025-02-28,0.19261213720316622,15.026330947875977,0
2025-03-07,0.2358990339669679,4.188819885253906,0
2025-03-14,0.2573344509639564,0.0,0
2025-03-21,0.20345125107851597,0.0,0
2025-03-28,0.1768033946251768,0.0,0
2025-04-04,0.1495398773006135,1.1699497699737549,0
2025-04-11,0.2319327731092437,1.4950791597366333,0
2024-11-01,0.19367157665030005,0.0,1
2024-11-08,0.2399403874813711,0.0,1
2024-11-15,0.09630702389572773,0.0,1
2024-11-22,0.4840236686390533,0.0,1
2024-11-29,0.6515085895770175,0.0,1
2024-12-06,0.5860914359304572,0.0,1
2024-12-13,0.5884645362431801,0.0,1
2024-12-20,0.01699029126213592,0.0,1
2024-12-27,-0.0035778175313059034,15.656085968017578,1
2025-01-03,0.048381715048381714,12.141271591186523,1
2025-01-10,-0.033623910336239106,6.86964225769043,1
2025-01-17,0.788712422007941,0.0,1
2025-01-24,0.7981220657276995,0.0,1
2025-01-31,0.4188376753507014,0.21638277173042297,1
2025-02-07,0.7914768158670598,2.2120948135852814,1
2025-02-14,0.561784629759402,0.0,1
2025-02-21,0.17801445416508177,1.0801368653774261,1
2025-02-28,0.7038145100972326,8.459498405456543,1
2025-03-07,0.6589769307923772,0.0,1
2025-03-14,0.4997232982844494,7.095720291137695,1
2025-03-21,0.3110995310057322,0.0,1
2025-03-28,0.27410817031070195,0.0,1
2025-04-04,0.24708171206225682,1.3612451553344727,1
2025-04-11,0.2907286371338659,2.335517644882202,1
2024-11-01,0.09443800695249131,0.0,2
2024-11-08,0.08812260536398467,0.0,2
2024-11-15,0.04824883663972569,0.0,2
2024-11-22,0.12280701754385964,0.0,2
2024-11-29,0.13185353822804022,0.0,2
2024-12-06,0.10763600066544668,6.747146129608154,2
2024-12-13,0.10516129032258065,0.0,2
2024-12-20,0.089058524173028,11.874637603759766,2
2024-12-27,0.04056529704265899,7.02155065536499,2
2025-01-03,0.0296028880866426,12.78328561782837,2
2025-01-10,-0.06137097738963991,5.728054523468018,2
2025-01-17,0.15738857037174034,0.0,2
2025-01-24,0.17167222840192806,0.0,2
2025-01-31,0.023795569100926034,0.07775674760341644,2
2025-02-07,0.16125521494649012,2.1094436943531036,2
2025-02-14,0.005877413937867338,0.0,2
2025-02-21,0.08929406264609631,1.4145468473434448,2
2025-02-28,0.15803066989507666,11.50944995880127,2
2025-03-07,0.06311787072243347,0.0,2
2025-03-14,0.14226314226314227,3.9428415298461914,2
2025-03-21,0.14726741760534,0.0,2
2025-03-28,0.11207621182404034,0.0,2
2025-04-04,0.13089937666963491,1.251196265220642,2
2025-04-11,0.13157894736842105,2.410398244857788,2
2024-11-01,0.492203118752499,0.0,3
2024-11-08,0.07953063885267275,0.0,3
2024-11-15,0.029356652092442224,0.0,3
2024-11-22,0.2918825561312608,0.0,3
2024-11-29,0.1793076623881758,0.0,3
2024-12-06,0.11256218905472637,2.3479504585266113,3
2024-12-13,0.12476441764040709,0.0,3
2024-12-20,0.10398445092322643,0.0,3
2024-12-27,0.01202016285381931,8.602410316467285,3
2025-01-03,0.026713124274099883,5.731935977935791,3
2025-01-10,-0.02507645259938838,5.776796340942383,3
2025-01-17,0.07286475339405396,0.0,3
2025-01-24,0.7187169545294325,0.0,3
2025-01-31,0.4923153197818542,6.248101890087128,3
2025-02-07,0.8368958475153165,1.8719457387924194,3
2025-02-14,0.909733302940506,0.0,3
2025-02-21,0.16769390858880973,4.216259658336639,3
2025-02-28,0.900703823473464,13.255050659179688,3
2025-03-07,0.909315746084089,0.0,3
2025-03-14,0.9066534260178749,4.292623043060303,3
2025-03-21,0.9148121560181862,0.0,3
2025-03-28,0.741260525644297,0.0,3
2025-04-04,0.5359688917692806,1.9433003664016724,3
2025-04-11,0.29890310786106034,4.874532222747803,3
2024-11-01,0.3854317414375302,0.0,4
2024-11-08,0.4762869882448318,0.0,4
2024-11-15,0.20236471123237834,0.0,4
2024-11-22,0.5549668874172186,0.0,4
2024-11-29,0.6333768900504013,0.0,4
2024-12-06,0.5726221079691517,6.485907077789307,4
2024-12-13,0.460332541567696,6.140386581420898,4
2024-12-20,0.054814814814814816,5.4905548095703125,4
2024-12-27,0.35854616895874264,8.67982006072998,4
2025-01-03,0.10005527915975677,10.877071380615234,4
2025-01-10,0.3183707398171239,5.700732707977295,4
2025-01-17,0.6182679879362344,0.0,4
2025-01-24,0.626916524701874,0.0,4
2025-01-31,0.21101403230076782,0.21383510529994965,4
2025-02-07,0.5401862055861676,2.187486559152603,4
2025-02-14,0.026252983293556086,0.0,4
2025-02-21,0.07585513078470825,0.4157414436340332,4
2025-02-28,0.5357142857142857,8.277572631835938,4
2025-03-07,0.6255451713395639,0.0,4
2025-03-14,0.6348585189644792,7.487754821777344,4
2025-03-21,0.6033303597977996,0.0,4
2025-03-28,0.4919093851132686,0.0,4
2025-04-04,0.4906832298136646,1.5260082483291626,4
2025-04-11,0.3937677053824363,2.3821861743927,4
